2025-12-31 22:35:42.738 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-31 22:35:42.740 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-31 22:35:42.761 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
2025-12-31 22:35:43.163 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8887 (http)
2025-12-31 22:35:43.172 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-31 22:35:43.172 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2025-12-31 22:35:43.212 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-31 22:35:43.212 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1035 ms
2025-12-31 22:35:44.129 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8887 (http) with context path '/'
2025-12-31 22:35:44.137 [main] INFO  com.tju.elm.point.PointServiceApplication - Started PointServiceApplication in 2.398 seconds (process running for 2.829)
2025-12-31 22:35:49.422 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-12-31 22:35:49.511 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-12-31 22:47:29.427 [main] INFO  com.tju.elm.point.PointServiceApplication - Starting PointServiceApplication using Java 17.0.12 with PID 16612 (G:\LE\elm-microservices\elm_cloud\point-service\target\classes started by 26302 in G:\LE\elm-microservices\elm_cloud)
2025-12-31 22:47:29.429 [main] INFO  com.tju.elm.point.PointServiceApplication - The following 1 profile is active: "dev"
2025-12-31 22:47:30.085 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-31 22:47:30.095 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-31 22:47:30.124 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
2025-12-31 22:47:30.588 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8887 (http)
2025-12-31 22:47:30.598 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-31 22:47:30.598 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2025-12-31 22:47:30.646 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-31 22:47:30.646 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1185 ms
2025-12-31 22:47:30.793 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2025-12-31 22:47:30.803 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2025-12-31 22:48:18.929 [main] INFO  com.tju.elm.point.PointServiceApplication - Starting PointServiceApplication using Java 17.0.12 with PID 27940 (G:\LE\elm-microservices\elm_cloud\point-service\target\classes started by 26302 in G:\LE\elm-microservices\elm_cloud)
2025-12-31 22:48:18.931 [main] INFO  com.tju.elm.point.PointServiceApplication - The following 1 profile is active: "dev"
2025-12-31 22:48:19.561 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-31 22:48:19.563 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-31 22:48:19.587 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2025-12-31 22:48:19.996 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8887 (http)
2025-12-31 22:48:20.004 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-31 22:48:20.005 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2025-12-31 22:48:20.044 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-31 22:48:20.044 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1079 ms
2025-12-31 22:48:21.069 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8887 (http) with context path '/'
2025-12-31 22:48:21.077 [main] INFO  com.tju.elm.point.PointServiceApplication - Started PointServiceApplication in 2.537 seconds (process running for 2.926)
2025-12-31 22:48:36.914 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-12-31 22:48:37.008 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-12-31 22:49:13.845 [main] INFO  com.tju.elm.business.BusinessServiceApplication - Starting BusinessServiceApplication using Java 17.0.12 with PID 11592 (G:\LE\elm-microservices\elm_cloud\business-service\target\classes started by 26302 in G:\LE\elm-microservices\elm_cloud)
2025-12-31 22:49:13.847 [main] INFO  com.tju.elm.business.BusinessServiceApplication - The following 1 profile is active: "dev"
2025-12-31 22:49:14.363 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-31 22:49:14.365 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-31 22:49:14.385 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2025-12-31 22:49:14.716 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8882 (http)
2025-12-31 22:49:14.724 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-31 22:49:14.724 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2025-12-31 22:49:14.769 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-31 22:49:14.770 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 890 ms
2025-12-31 22:49:15.515 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8882 (http) with context path '/'
2025-12-31 22:49:15.523 [main] INFO  com.tju.elm.business.BusinessServiceApplication - Started BusinessServiceApplication in 2.071 seconds (process running for 2.483)
2025-12-31 22:49:36.491 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-12-31 22:49:36.583 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
